epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,294.72,0.80436,1.16411,1.41477,0.22168,0.84615,0.2259,0.17136,0.70848,10.6391,0.96534,0.00112509,0.00112509,0.00112509
127,297.134,0.79514,0.98155,1.31258,0.22565,0.84615,0.23168,0.16424,0.75326,10.6289,1.00992,0.00111009,0.00111009,0.00111009
128,299.207,0.80475,1.01512,1.38945,0.22995,0.84615,0.22576,0.17126,0.68,12.4116,0.95383,0.0010951,0.0010951,0.0010951
129,301.635,0.90924,1.03368,1.43109,0.22358,0.84615,0.24601,0.17429,0.72327,13.9933,0.97885,0.0010801,0.0010801,0.0010801
130,304.297,0.90106,1.11362,1.44087,0.22252,0.84615,0.245,0.18731,0.63719,13.1566,0.90751,0.0010651,0.0010651,0.0010651
131,306.389,0.93328,1.07067,1.44206,0.2258,0.84615,0.24657,0.18977,0.61634,11.1601,0.88585,0.0010501,0.0010501,0.0010501
132,309.133,0.86258,0.96424,1.41811,0.23876,0.84615,0.2308,0.18141,0.63942,10.7038,0.90634,0.0010351,0.0010351,0.0010351
133,311.891,0.82708,1.0548,1.34279,0.20954,0.84615,0.21381,0.16505,0.62444,10.4821,0.89705,0.0010201,0.0010201,0.0010201
134,313.836,0.99995,0.9853,1.40109,0.21621,0.84615,0.21409,0.16229,0.61744,11.2164,0.89651,0.0010051,0.0010051,0.0010051
135,316.139,0.79942,0.95656,1.27775,0.21738,0.84615,0.21902,0.15707,0.70421,13.8125,0.98885,0.000990101,0.000990101,0.000990101
136,318.636,0.86312,1.08012,1.40803,0.20503,0.7738,0.22618,0.16032,0.73575,12.783,1.01499,0.000975101,0.000975101,0.000975101
137,321.307,0.88633,0.9579,1.42727,0.20266,0.80198,0.21518,0.15876,0.7423,13.3101,1.00224,0.000960102,0.000960102,0.000960102
138,323.621,0.87033,1.00432,1.49268,0.20376,0.76923,0.21656,0.1603,0.71869,14.4165,0.97243,0.000945103,0.000945103,0.000945103
139,325.728,1.02959,1.06537,1.52303,0.19671,0.76923,0.21316,0.15644,0.74413,13.5969,0.99358,0.000930104,0.000930104,0.000930104
140,327.961,0.90238,1.10259,1.43719,0.2078,0.84615,0.21334,0.15957,0.69143,11.8966,0.94555,0.000915104,0.000915104,0.000915104
141,330.044,0.84214,0.96074,1.34807,0.21236,0.84615,0.21966,0.15945,0.68462,10.6914,0.9526,0.000900105,0.000900105,0.000900105
142,333.093,0.8322,1.02869,1.38357,0.21892,0.84615,0.22697,0.16418,0.68918,10.7438,0.95462,0.000885106,0.000885106,0.000885106
143,335.418,0.77225,0.89675,1.34652,0.22005,0.84615,0.24188,0.16235,0.77801,12.3543,1.03951,0.000870107,0.000870107,0.000870107
144,337.74,0.94016,1.05913,1.45333,0.22804,0.88658,0.24167,0.16877,0.73731,13.5267,1.00459,0.000855107,0.000855107,0.000855107
145,339.86,0.74918,1.00557,1.39455,0.19882,0.80209,0.2177,0.15799,0.6708,11.779,0.94926,0.000840108,0.000840108,0.000840108
146,342.091,0.78576,0.81326,1.22208,0.20033,0.61538,0.21585,0.15195,0.67891,11.7372,0.95763,0.000825109,0.000825109,0.000825109
147,344.154,0.76481,1.00747,1.40141,0.20759,0.61538,0.21138,0.15186,0.67051,12.905,0.94653,0.00081011,0.00081011,0.00081011
148,346.73,0.77925,0.85071,1.27187,0.20909,0.76923,0.21863,0.16581,0.61205,13.2641,0.89389,0.00079511,0.00079511,0.00079511
149,348.928,0.84758,1.18925,1.43428,0.19638,0.69231,0.21168,0.16317,0.61875,12.9055,0.89808,0.000780111,0.000780111,0.000780111
150,350.87,0.75761,1.04403,1.34005,0.20801,0.76923,0.21546,0.16132,0.6543,12.9537,0.92421,0.000765112,0.000765112,0.000765112
151,353.061,0.84393,1.04233,1.36508,0.19567,0.69231,0.21124,0.15241,0.68821,12.73,0.94682,0.000750113,0.000750113,0.000750113
152,355.349,0.72477,0.97753,1.22136,0.19429,0.69231,0.19968,0.14563,0.69007,13.4754,0.96075,0.000735113,0.000735113,0.000735113
153,357.409,0.87371,0.95798,1.35575,0.20423,0.69231,0.20444,0.13432,0.77538,15.286,1.03616,0.000720114,0.000720114,0.000720114
154,359.854,0.91445,0.91715,1.40176,0.21786,0.69231,0.20745,0.14848,0.72045,16.1368,0.97263,0.000705115,0.000705115,0.000705115
155,362.216,0.77032,0.87036,1.39894,0.21264,0.69231,0.18878,0.13584,0.68437,14.6474,0.94806,0.000690115,0.000690115,0.000690115
156,364.231,0.89706,1.07937,1.50749,0.21643,0.69231,0.18492,0.13468,0.63934,13.8058,0.92182,0.000675116,0.000675116,0.000675116
